/home/jules/.pyenv/versions/3.12.12/lib/python3.12/site-packages/backtesting/lib.py:301: FutureWarning: 'H' is deprecated and will be removed in a future version, please use 'h' instead.
  resampled = series.resample(rule, label='right').agg(agg).dropna()
Backtest.run:   0%|          | 0/31065 [00:00<?, ?bar/s]Time: 2023-01-01 05:00:00, Price: 16507.99, ETF VWAP: nan, ETF Trigger: nan, Low: 16503.19
Time: 2023-01-02 23:15:00, Price: 16706.09, ETF VWAP: nan, ETF Trigger: nan, Low: 16701.84
Time: 2023-01-02 23:30:00, Price: 16696.44, ETF VWAP: nan, ETF Trigger: nan, Low: 16688.71
Time: 2023-01-02 23:45:00, Price: 16666.95, ETF VWAP: nan, ETF Trigger: nan, Low: 16655.5
Time: 2023-01-03 00:00:00, Price: 16680.2, ETF VWAP: nan, ETF Trigger: nan, Low: 16639.62
Time: 2023-01-03 00:15:00, Price: 16676.54, ETF VWAP: nan, ETF Trigger: nan, Low: 16671.97
Time: 2023-01-03 00:30:00, Price: 16698.61, ETF VWAP: nan, ETF Trigger: nan, Low: 16674.83
Time: 2023-01-03 00:45:00, Price: 16690.85, ETF VWAP: nan, ETF Trigger: nan, Low: 16682.03
Time: 2023-01-03 01:00:00, Price: 16674.7, ETF VWAP: nan, ETF Trigger: nan, Low: 16669.86
Time: 2023-01-03 01:15:00, Price: 16654.52, ETF VWAP: nan, ETF Trigger: nan, Low: 16646.54
Time: 2023-01-03 01:30:00, Price: 16666.24, ETF VWAP: nan, ETF Trigger: nan, Low: 16651.07
Time: 2023-01-03 01:45:00, Price: 16672.47, ETF VWAP: nan, ETF Trigger: nan, Low: 16659.8
Time: 2023-01-03 02:00:00, Price: 16682.08, ETF VWAP: nan, ETF Trigger: nan, Low: 16667.13
Time: 2023-01-03 02:15:00, Price: 16670.12, ETF VWAP: nan, ETF Trigger: nan, Low: 16668.84
Time: 2023-01-03 02:30:00, Price: 16678.26, ETF VWAP: nan, ETF Trigger: nan, Low: 16668.62
Time: 2023-01-03 02:45:00, Price: 16668.07, ETF VWAP: nan, ETF Trigger: nan, Low: 16665.88
Time: 2023-01-03 03:00:00, Price: 16666.01, ETF VWAP: nan, ETF Trigger: nan, Low: 16661.72
Time: 2023-01-03 03:15:00, Price: 16680.26, ETF VWAP: nan, ETF Trigger: nan, Low: 16662.72
Time: 2023-01-03 03:30:00, Price: 16684.4, ETF VWAP: nan, ETF Trigger: nan, Low: 16678.66
Time: 2023-01-03 03:45:00, Price: 16684.24, ETF VWAP: nan, ETF Trigger: nan, Low: 16681.68
Time: 2023-01-03 04:00:00, Price: 16691.49, ETF VWAP: nan, ETF Trigger: nan, Low: 16682.36
Time: 2023-01-03 04:15:00, Price: 16686.6, ETF VWAP: nan, ETF Trigger: nan, Low: 16680.09
Time: 2023-01-03 04:30:00, Price: 16681.38, ETF VWAP: nan, ETF Trigger: nan, Low: 16678.83
